央视频道,#genre#
东方卫视,http://106.59.2.169:55555/udp/239.200.200.8:8032
东方卫视,http://111.113.89.3:2000/rtp/239.121.4.109:8636
北京卫视,http://183.236.43.98:4013/udp/239.77.1.4:5146
北京卫视,http://183.236.43.98:4013/udp/239.77.1.151:5146
北京卫视,http://113.119.25.140:58888/udp/239.77.1.4:5146
北京卫视,http://113.119.25.140:58888/udp/239.77.1.151:5146
北京卫视,http://114.254.35.130:18888/rtp/239.3.1.241:8000
北京卫视,http://144.255.16.122:6688/udp/239.21.1.88:5002
北京卫视,http://115.171.216.84:4000/rtp/225.1.8.21:8002
北京卫视,http://115.171.80.79:1688/rtp/225.1.8.21:8002
北京卫视,http://115.171.216.64:4000/rtp/225.1.8.21:8002
北京卫视,http://118.78.196.227:55555/rtp/226.0.2.177:9328
北京卫视,http://223.198.243.214:4000/rtp/239.253.64.204:5140
北京卫视,http://106.59.2.169:55555/rtp/239.200.200.5:8024
北京卫视,http://111.113.89.3:2000/rtp/239.121.4.117:8684
江苏卫视,http://183.236.43.98:4013/udp/239.77.1.18:5146
江苏卫视,http://113.119.25.140:58888/udp/239.77.1.18:5146
江苏卫视,http://114.254.35.130:18888/rtp/239.3.1.135:8028
江苏卫视,http://144.255.16.122:6688/udp/239.21.1.89:5002
江苏卫视,http://115.171.216.84:4000/udp/225.1.8.44:8028
江苏卫视,http://115.171.80.79:1688/udp/225.1.8.44:8028
江苏卫视,http://115.171.216.64:4000/udp/225.1.8.44:8028
江苏卫视,http://118.78.196.227:55555/rtp/226.0.2.176:9320
江苏卫视,http://223.198.243.214:4000/rtp/239.253.64.202:5140
江苏卫视,http://106.59.2.169:55555/udp/239.200.200.7:8028
江苏卫视,http://111.113.89.3:2000/rtp/239.121.4.115:8672
安徽卫视,http://183.236.43.98:4013/udp/239.77.1.92:5146
安徽卫视,http://113.119.25.140:58888/udp/239.77.1.92:5146
安徽卫视,http://114.254.35.130:18888/rtp/239.3.1.211:8064
安徽卫视,http://144.255.16.122:6688/udp/239.21.1.159:5002
安徽卫视,http://115.171.216.84:4000/udp/225.1.8.52:8064
安徽卫视,http://115.171.80.79:1688/udp/225.1.8.52:8064
安徽卫视,http://115.171.216.64:4000/udp/225.1.8.52:8064
安徽卫视,http://118.78.196.227:55555/rtp/226.0.2.145:9072
安徽卫视,http://223.198.243.214:4000/rtp/239.253.64.129:5140
安徽卫视,http://106.59.2.169:55555/udp/239.200.200.129:8720
安徽卫视,http://111.113.89.3:2000/rtp/239.121.4.161:8950
重庆卫视,http://183.236.43.98:4013/udp/239.77.1.162:5146
重庆卫视,http://113.119.25.140:58888/udp/239.77.1.162:5146
重庆卫视,http://114.254.35.130:18888/rtp/239.3.1.122:8160
重庆卫视,http://144.255.16.122:6688/udp/239.21.1.233:5002
重庆卫视,http://115.171.216.84:4000/udp/225.1.8.172:8162
重庆卫视,http://115.171.80.79:1688/udp/225.1.8.172:8162
重庆卫视,http://115.171.216.64:4000/udp/225.1.8.172:8162
重庆卫视,http://118.78.196.227:55555/rtp/226.0.2.174:9304
重庆卫视,http://223.198.243.214:4000/rtp/239.253.64.55:5140
重庆卫视,http://106.59.2.169:55555/rtp/239.200.200.49:8264
